,Posemo,Negemo,Work,Date,Status_id,length_messages
169,4.0,2.0,1.0,2016-04-02 12:56:27,261858613983318_565798376922672,92
170,3.0,1.0,1.0,2016-04-02 12:55:04,261858613983318_565795770256266,44
171,4.0,2.0,1.0,2016-04-02 12:54:48,261858613983318_565795730256270,109
172,4.0,4.0,,2016-04-02 12:54:38,261858613983318_565795690256274,182
173,5.0,,,2016-04-02 12:54:27,261858613983318_565795663589610,35
174,4.0,8.0,10.0,2016-04-02 12:54:12,261858613983318_565795583589618,286
175,,,,2016-04-02 12:53:15,261858613983318_565795340256309,9
176,,,,2016-04-02 12:53:04,261858613983318_565795293589647,32
177,6.0,,1.0,2016-04-02 12:52:46,261858613983318_565795256922984,43
178,4.0,1.0,4.0,2016-04-02 12:51:48,261858613983318_565795036923006,51
179,1.0,,,2016-04-02 12:51:34,261858613983318_565795010256342,47
180,1.0,,,2016-04-02 12:51:04,261858613983318_565794906923019,9
181,3.0,6.0,2.0,2016-04-02 12:50:55,261858613983318_565794850256358,157
182,2.0,1.0,2.0,2016-04-02 12:50:07,261858613983318_565794660256377,40
183,,,,2016-03-31 00:40:06,261858613983318_564445510391292,9
184,5.0,,2.0,2016-03-31 00:39:55,261858613983318_564445493724627,74
185,5.0,8.0,2.0,2016-03-31 00:39:38,261858613983318_564445447057965,220
186,1.0,,,2016-03-31 00:39:20,261858613983318_564445307057979,34
187,5.0,2.0,,2016-03-31 00:39:09,261858613983318_564445233724653,52
188,9.0,1.0,,2016-03-31 00:38:53,261858613983318_564445183724658,123
189,2.0,8.0,2.0,2016-03-31 00:38:25,261858613983318_564445110391332,119
190,2.0,2.0,,2016-03-31 00:38:04,261858613983318_564445063724670,39
191,1.0,1.0,1.0,2016-03-31 00:37:49,261858613983318_564445023724674,32
192,,1.0,,2016-03-31 00:37:17,261858613983318_564444913724685,35
193,1.0,,,2016-03-31 00:36:42,261858613983318_564443817058128,5
194,2.0,1.0,1.0,2016-03-28 22:27:57,261858613983318_563008910534952,32
195,4.0,3.0,1.0,2016-03-28 22:27:07,261858613983318_563008153868361,146
196,,,2.0,2016-03-28 22:26:05,261858613983318_563007217201788,40
197,2.0,2.0,,2016-03-28 22:25:27,261858613983318_563007137201796,50
198,2.0,1.0,,2016-03-28 22:24:50,261858613983318_563007057201804,65
199,,2.0,,2016-03-28 22:24:31,261858613983318_563006990535144,21
200,,3.0,1.0,2016-03-28 22:24:05,261858613983318_563006880535155,52
201,1.0,5.0,5.0,2016-03-28 22:23:38,261858613983318_563006713868505,50
202,4.0,,,2016-03-28 22:23:20,261858613983318_563006657201844,86
203,11.0,1.0,5.0,2016-03-28 22:22:56,261858613983318_563006547201855,229
204,3.0,,1.0,2016-03-28 22:21:50,261858613983318_563006313868545,21
205,2.0,,,2016-03-28 22:21:39,261858613983318_563006287201881,31
206,,,,2016-03-28 22:21:27,261858613983318_563006260535217,5
207,2.0,,,2016-03-27 23:45:51,261858613983318_562414047261105,53
208,1.0,,,2016-03-27 23:45:30,261858613983318_562414000594443,26
209,2.0,1.0,1.0,2016-03-27 23:45:18,261858613983318_562413940594449,58
210,5.0,1.0,,2016-03-27 23:44:53,261858613983318_562413907261119,66
211,3.0,6.0,12.0,2016-03-27 23:44:19,261858613983318_562413763927800,200
212,3.0,7.0,,2016-03-27 23:42:12,261858613983318_562413507261159,123
213,,,1.0,2016-03-27 23:41:26,261858613983318_562413287261181,15
214,13.0,9.0,2.0,2016-03-27 23:41:04,261858613983318_562413247261185,290
215,8.0,4.0,1.0,2016-03-27 23:40:16,261858613983318_562413093927867,125
216,15.0,7.0,,2016-03-27 23:39:44,261858613983318_562413013927875,147
217,1.0,,2.0,2016-03-27 23:38:55,261858613983318_562412883927888,25
218,1.0,,,2016-03-27 23:37:48,261858613983318_562412720594571,28
219,4.0,2.0,1.0,2016-03-27 23:37:37,261858613983318_562412703927906,98
220,14.0,8.0,,2016-03-27 23:37:00,261858613983318_562412597261250,114
221,,,,2016-03-27 23:36:17,261858613983318_562411217261388,8
222,,,1.0,2016-03-27 23:36:07,261858613983318_562411187261391,33
223,5.0,1.0,,2016-03-27 23:35:54,261858613983318_562411147261395,80
224,7.0,1.0,1.0,2016-03-27 23:34:22,261858613983318_562410533928123,65
225,31.0,27.0,21.0,2016-03-27 23:33:59,261858613983318_562410493928127,679
226,,1.0,,2016-03-27 23:32:27,261858613983318_562409623928214,14
227,1.0,1.0,,2016-03-26 15:55:38,261858613983318_561585430677300,24
228,4.0,,,2016-03-26 15:54:17,261858613983318_561585067344003,30
229,1.0,,,2016-03-26 15:53:14,261858613983318_561584667344043,7
230,,3.0,1.0,2016-03-26 15:52:47,261858613983318_561584560677387,31
231,2.0,2.0,,2016-03-26 15:52:35,261858613983318_561584144010762,48
232,1.0,,,2016-03-26 15:52:25,261858613983318_561584110677432,16
233,,1.0,,2016-03-26 15:52:13,261858613983318_561584050677438,10
234,2.0,1.0,,2016-03-26 15:51:58,261858613983318_561583947344115,44
235,9.0,9.0,1.0,2016-03-26 15:51:47,261858613983318_561583887344121,206
236,3.0,2.0,2.0,2016-03-26 15:51:22,261858613983318_561583830677460,48
